Comment,Designator,Footprint,LCSC Part #
270R,R1 R2,M0805,C17590 
1K,R3 R4,M0805,C17513 
10K,R5,M0805,C17414 
1K/0.1%,R20 R21,M0805,C17513 
47K/0.1%,R22,M0805,C17713 
18K/0.1%,R23,M0805,C17506 
10nF,C1,C0805K,C1710 
100nF,C2 C3 C4 C5 C6 C7 C12 C20 C21,C0805K,C49678 
22uF/10V,C10,C1206,C5672
22uF/24V,C11,C1206,C12891 
4.7uF,C13,C1206,C13983 
Ferrit,F1,SM-1206,C39279 
4.7-22uH,L2,FPS,C90321 
IRLML6402TRPBF,Q1,SOT23,C2593 
SS26,D1,SMB,C511852 
LED1,D2,CHIPLED_1206,C131245 
LED2,D3,CHIPLED_1206,C93133 
FT232RL,U2,SSOP28-LD,C8690
MT3608L,U4,SOT23-6,C2932326 
